image_path,label,file_name,file_size_kb,is_valid,width,height,channels
data\raw\Hazardous\batteries\1-s2.0-S0892687521004477-ga1.jpg,hazardous,1-s2.0-S0892687521004477-ga1.jpg,29.02,True,447,200,3
data\raw\Hazardous\batteries\1-s2.0-S2405829720304827-fx1.jpg,hazardous,1-s2.0-S2405829720304827-fx1.jpg,37.45,True,245,245,3
data\raw\Hazardous\batteries\1-s2.0-S2666016421000268-ga1.jpg,hazardous,1-s2.0-S2666016421000268-ga1.jpg,31.98,True,340,200,3
data\raw\Hazardous\batteries\12209_2020_236_Fig1_HTML.png,hazardous,12209_2020_236_Fig1_HTML.png,407.33,True,685,641,3
data\raw\Hazardous\batteries\12209_2020_236_Fig2_HTML.png,hazardous,12209_2020_236_Fig2_HTML.png,237.51,True,685,436,3
data\raw\Hazardous\batteries\18650Cell.jpg,hazardous,18650Cell.jpg,234.84,True,750,563,3
data\raw\Hazardous\batteries\19.13.jpg,hazardous,19.13.jpg,224.29,True,2733,1049,3
data\raw\Hazardous\batteries\1_Picture7.png,hazardous,1_Picture7.png,103.28,True,640,515,3
data\raw\Hazardous\batteries\40422.MN2400B8.jpg,hazardous,40422.MN2400B8.jpg,1675.09,True,1502,1801,3
data\raw\Hazardous\batteries\41560_2019_368_Fig1_HTML.png,hazardous,41560_2019_368_Fig1_HTML.png,456.96,True,2119,1359,3
data\raw\Hazardous\batteries\41586_2019_1682_Fig1_HTML.png,hazardous,41586_2019_1682_Fig1_HTML.png,67.57,True,1690,603,3
data\raw\Hazardous\batteries\41598_2013_Article_BFsrep01946_Fig1_HTML.jpg,hazardous,41598_2013_Article_BFsrep01946_Fig1_HTML.jpg,273.1,True,2097,1346,3
data\raw\Hazardous\batteries\800px-Alkali_battery_5.jpg,hazardous,800px-Alkali_battery_5.jpg,75.4,True,800,600,3
data\raw\Hazardous\batteries\AA_matchstick-1.jpg,hazardous,AA_matchstick-1.jpg,115.71,True,600,762,3
data\raw\Hazardous\batteries\AdobeStock_58870390.jpeg,hazardous,AdobeStock_58870390.jpeg,895.58,True,6500,4500,3
data\raw\Hazardous\batteries\aenm202102917-fig-0006-m.jpg,hazardous,aenm202102917-fig-0006-m.jpg,193.83,True,1364,1021,3
data\raw\Hazardous\batteries\alkaline-batteries-for-recyling.jpg,hazardous,alkaline-batteries-for-recyling.jpg,154.02,True,600,387,3
data\raw\Hazardous\batteries\Alkaline-Batteries-What-Battery-Suppliers-Consider-Their-Advantages--e1538514638890.jpg,hazardous,Alkaline-Batteries-What-Battery-Suppliers-Consider-Their-Advantages--e1538514638890.jpg,110.34,True,800,715,3
data\raw\Hazardous\batteries\Alkaline-batteries.jpg,hazardous,Alkaline-batteries.jpg,222.3,True,800,470,3
data\raw\Hazardous\batteries\Alkaline-Battery-vs-Lithium-Battery.jpg,hazardous,Alkaline-Battery-vs-Lithium-Battery.jpg,100.73,True,1200,800,3
data\raw\Hazardous\batteries\alkaline-battery_en.jpg,hazardous,alkaline-battery_en.jpg,55.05,True,380,380,3
data\raw\Hazardous\batteries\Alkaline-vs.-Lithium-Batteries.png,hazardous,Alkaline-vs.-Lithium-Batteries.png,125.34,True,840,2452,3
data\raw\Hazardous\batteries\alkaline-zinc-carbon.jpg,hazardous,alkaline-zinc-carbon.jpg,40.42,True,325,217,3
data\raw\Hazardous\batteries\AMP-17_61f252bb2428a.jpg,hazardous,AMP-17_61f252bb2428a.jpg,252.08,True,1200,900,3
data\raw\Hazardous\batteries\basic-lithium-ion-battery-5-2_en.png,hazardous,basic-lithium-ion-battery-5-2_en.png,52.09,True,1200,800,3
data\raw\Hazardous\batteries\batterien_seen_fotolia_26510842_m.jpg,hazardous,batterien_seen_fotolia_26510842_m.jpg,715.67,True,1576,1206,3
data\raw\Hazardous\batteries\Batteries-.jpg,hazardous,Batteries-.jpg,148.76,True,1920,1080,3
data\raw\Hazardous\batteries\batteries-04-00007-g002.png,hazardous,batteries-04-00007-g002.png,2023.29,True,2390,2211,3
data\raw\Hazardous\batteries\batteries-05-00068-g001.png,hazardous,batteries-05-00068-g001.png,1084.59,True,3721,2222,3
data\raw\Hazardous\batteries\batteries-scaled.jpg,hazardous,batteries-scaled.jpg,1222.82,True,2560,1920,3
data\raw\Hazardous\batteries\batteries2.jpg,hazardous,batteries2.jpg,441.71,True,2716,1810,3
data\raw\Hazardous\batteries\batteries20in20a20pile20WEEE.jpeg,hazardous,batteries20in20a20pile20WEEE.jpeg,66.52,True,400,300,3
data\raw\Hazardous\batteries\Batteries3.jpg,hazardous,Batteries3.jpg,219.95,True,698,524,3
data\raw\Hazardous\batteries\Batteries_-Lithium-Ion-Battery-and-Lithium-Polymer-Battery-Explained.png,hazardous,Batteries_-Lithium-Ion-Battery-and-Lithium-Polymer-Battery-Explained.png,241.12,True,2240,1260,3
data\raw\Hazardous\batteries\batteries_as_hero.jpg,hazardous,batteries_as_hero.jpg,264.66,True,992,661,3
data\raw\Hazardous\batteries\battery-directive-european-union.jpg,hazardous,battery-directive-european-union.jpg,34.56,True,613,345,3
data\raw\Hazardous\batteries\battery-recycling.jpg,hazardous,battery-recycling.jpg,121.22,True,1024,1024,3
data\raw\Hazardous\batteries\battery-recycling2.jpg,hazardous,battery-recycling2.jpg,36.35,True,728,489,3
data\raw\Hazardous\batteries\battery-types-and-sizes.jpg.webp,hazardous,battery-types-and-sizes.jpg.webp,30.42,True,800,600,3
data\raw\Hazardous\batteries\battery_recycling.jpg,hazardous,battery_recycling.jpg,104.71,True,780,520,3
data\raw\Hazardous\batteries\battery_sizing.jpg,hazardous,battery_sizing.jpg,42.67,True,900,560,3
data\raw\Hazardous\batteries\bu-social.jpg,hazardous,bu-social.jpg,239.05,True,1600,821,3
data\raw\Hazardous\batteries\carbon-zinc-battery-vs-alkaline.jpg,hazardous,carbon-zinc-battery-vs-alkaline.jpg,49.0,True,1000,750,3
data\raw\Hazardous\batteries\collected-to-take-to-be-recycled-rather-than-be-dumped-into-landfill-2GDCM0M.jpg,hazardous,collected-to-take-to-be-recycled-rather-than-be-dumped-into-landfill-2GDCM0M.jpg,208.79,True,1300,950,3
data\raw\Hazardous\batteries\common-alkaline-battery-sizes.jpg,hazardous,common-alkaline-battery-sizes.jpg,345.11,True,1246,853,3
data\raw\Hazardous\batteries\creens-LCD-iPhone-panels-laptop-collected-for-disposal-in-plastic-containers.png,hazardous,creens-LCD-iPhone-panels-laptop-collected-for-disposal-in-plastic-containers.png,613.7,True,1440,792,3
data\raw\Hazardous\batteries\Cutaway-view-dioxide-power-cell.jpg,hazardous,Cutaway-view-dioxide-power-cell.jpg,150.73,True,1600,1086,3
data\raw\Hazardous\batteries\Difference-Between-Alkaline-and-Lithium-Batteries-Tabular-Form.jpg,hazardous,Difference-Between-Alkaline-and-Lithium-Batteries-Tabular-Form.jpg,504.37,True,735,1000,3
data\raw\Hazardous\batteries\Different-Types-of-Batteries.jpg,hazardous,Different-Types-of-Batteries.jpg,77.79,True,1200,732,3
data\raw\Hazardous\batteries\EDR-2.jpg,hazardous,EDR-2.jpg,107.31,True,1000,635,3
data\raw\Hazardous\batteries\ef1c02489_0011.jpeg,hazardous,ef1c02489_0011.jpeg,169.36,True,1000,713,3
data\raw\Hazardous\batteries\EG-BA-LR20-01_hires_photo---dea0b151-d0a5-4bac-9036-259aa2110a20.JPG.jpg,hazardous,EG-BA-LR20-01_hires_photo---dea0b151-d0a5-4bac-9036-259aa2110a20.JPG.jpg,5819.02,True,5568,3712,3
data\raw\Hazardous\batteries\Eneloop_6420.jpg,hazardous,Eneloop_6420.jpg,862.58,True,3000,3000,3
data\raw\Hazardous\batteries\energizer-cold-weather-lithium-aa-battery.jpg,hazardous,energizer-cold-weather-lithium-aa-battery.jpg,29.24,True,800,494,3
data\raw\Hazardous\batteries\fenrg-08-571440-g001.jpg,hazardous,fenrg-08-571440-g001.jpg,179.12,True,1950,1268,3
data\raw\Hazardous\batteries\file-20201020-17-1x28u8s.jpg,hazardous,file-20201020-17-1x28u8s.jpg,351.74,True,1920,1171,3
data\raw\Hazardous\batteries\image-2-716x1024.png,hazardous,image-2-716x1024.png,899.53,True,716,1024,3
data\raw\Hazardous\batteries\imageqz6zbg.png,hazardous,imageqz6zbg.png,58.56,True,388,190,3
data\raw\Hazardous\batteries\imagescxsuu.png,hazardous,imagescxsuu.png,67.21,True,404,184,3
data\raw\Hazardous\batteries\inf212000-fig-0001-m.jpg,hazardous,inf212000-fig-0001-m.jpg,847.78,True,2128,2161,3
data\raw\Hazardous\batteries\inf212000-fig-0004-m.jpg,hazardous,inf212000-fig-0004-m.jpg,319.42,True,2128,1409,3
data\raw\Hazardous\batteries\Intro-to-batteries-featured.jpg,hazardous,Intro-to-batteries-featured.jpg,62.69,True,770,603,3
data\raw\Hazardous\batteries\know-what-type-of-battery-to-use-in-equipment2.jpg,hazardous,know-what-type-of-battery-to-use-in-equipment2.jpg,310.16,True,1200,922,3
data\raw\Hazardous\batteries\Li-Batteries-for-Disposal-or-Recycling-1024x575.png,hazardous,Li-Batteries-for-Disposal-or-Recycling-1024x575.png,1098.32,True,1024,575,3
data\raw\Hazardous\batteries\Life-cycle-inventory-of-Li-ion-battery-Ecoinvent-30-Battery-Li-ion-rechargeable.png,hazardous,Life-cycle-inventory-of-Li-ion-battery-Ecoinvent-30-Battery-Li-ion-rechargeable.png,95.84,True,850,704,3
data\raw\Hazardous\batteries\lifecycleimagebatteries.png,hazardous,lifecycleimagebatteries.png,73.01,True,2200,1700,3
data\raw\Hazardous\batteries\Lithium-Batteries-vs-Alkaline-Batteries.jpg,hazardous,Lithium-Batteries-vs-Alkaline-Batteries.jpg,39.38,True,800,400,3
data\raw\Hazardous\batteries\Lithium-Batteries.jpg,hazardous,Lithium-Batteries.jpg,94.02,True,1607,577,3
data\raw\Hazardous\batteries\lithium-ion-aa-batteries.jpg,hazardous,lithium-ion-aa-batteries.jpg,70.66,True,1474,1336,3
data\raw\Hazardous\batteries\lithium-ion-batteries3.png,hazardous,lithium-ion-batteries3.png,281.87,True,702,347,3
data\raw\Hazardous\batteries\Lithium-ion-lithium-polymer-superhero-battery-blog-cover-image.jpg,hazardous,Lithium-ion-lithium-polymer-superhero-battery-blog-cover-image.jpg,229.32,True,768,510,3
data\raw\Hazardous\batteries\lithium-ion-watt-hours-highlighted.jpg,hazardous,lithium-ion-watt-hours-highlighted.jpg,98.23,True,500,500,3
data\raw\Hazardous\batteries\Lithium-ion_battery.jpg,hazardous,Lithium-ion_battery.jpg,72.03,True,600,600,3
data\raw\Hazardous\batteries\lithium-vs-alkaline-batteries-where-the-differences-and-which-is-better.jpg,hazardous,lithium-vs-alkaline-batteries-where-the-differences-and-which-is-better.jpg,49.51,True,1000,750,3
data\raw\Hazardous\batteries\lithium-vs-alkaline-batteries.png,hazardous,lithium-vs-alkaline-batteries.png,376.06,True,1435,749,3
data\raw\Hazardous\batteries\Lithium20batttery20pic.jpg,hazardous,Lithium20batttery20pic.jpg,178.63,True,1858,580,3
data\raw\Hazardous\batteries\Lithium_battery_terminal_image_EN.jpg,hazardous,Lithium_battery_terminal_image_EN.jpg,72.49,True,818,430,3
data\raw\Hazardous\batteries\machinedesign_7204_pulse_plus_batteries_promo_0.png,hazardous,machinedesign_7204_pulse_plus_batteries_promo_0.png,226.65,True,595,446,3
data\raw\Hazardous\batteries\maxresdefault.jpg,hazardous,maxresdefault.jpg,100.33,True,1280,720,3
