image_path,label,file_name,file_size_kb,is_valid,width,height,channels
data\raw\Organic\food_scraps\unavoidable-waste.jpg,organic,unavoidable-waste.jpg,53.96,True,1000,665,3
data\raw\Organic\coffee_tea_bags\easy-disposable-drip-bag-coffee-tea-bags-ground-173299325.jpg,organic,easy-disposable-drip-bag-coffee-tea-bags-ground-173299325.jpg,114.94,True,1600,1157,3
data\raw\Non-Recyclable\platics_bags_wrappers\Pranjali-Kumbhare-Kolkata--1230x767.jpg,non-recyclable,Pranjali-Kumbhare-Kolkata--1230x767.jpg,391.37,True,1230,767,3
data\raw\Non-Recyclable\diapers\sed-baby-nappies-environmental-impact-disposable-diapers-pollution-217314562.jpg,non-recyclable,sed-baby-nappies-environmental-impact-disposable-diapers-pollution-217314562.jpg,117.0,True,1600,1155,3
data\raw\Hazardous\e-waste\electrical-electronic-waste-1 - Copy.jpg,hazardous,electrical-electronic-waste-1 - Copy.jpg,117.42,True,548,693,3
data\raw\Recyclable\paper_products\Box.agr.jpg,recyclable,Box.agr.jpg,384.62,True,1442,1140,3
data\raw\Recyclable\cans_all_type\food-tin-can_01.jpg,recyclable,food-tin-can_01.jpg,68.92,True,800,600,3
data\raw\Hazardous\e-waste\Electronic-waste2-scaled.jpg,hazardous,Electronic-waste2-scaled.jpg,758.17,True,2560,1544,3
data\raw\Organic\yard_trimmings\Yard_Waste_1.jpg,organic,Yard_Waste_1.jpg,347.62,True,999,600,3
data\raw\Recyclable\glass_containers\ae518d0b2da51b3a5332f05eb5f78517.png,recyclable,ae518d0b2da51b3a5332f05eb5f78517.png,488.28,True,576,1024,3
data\raw\Recyclable\cans_all_type\canned-food_0.jpg,recyclable,canned-food_0.jpg,71.27,True,1000,450,3
data\raw\Non-Recyclable\diapers\three-nappies-2METKC6.jpg,non-recyclable,three-nappies-2METKC6.jpg,90.85,True,1300,1390,3
data\raw\Recyclable\plastic_bottles\pexels-photo-802221.jpeg,recyclable,pexels-photo-802221.jpeg,709.85,True,3256,2166,3
data\raw\Hazardous\paints\33-FT0807GageDiagramLG.jpg,hazardous,33-FT0807GageDiagramLG.jpg,46.43,True,547,342,3
data\raw\Non-Recyclable\ceramic_product\woman-repairing-broken-pottery-kintsugi-royalty-free-image-1680030784.jpg,non-recyclable,woman-repairing-broken-pottery-kintsugi-royalty-free-image-1680030784.jpg,620.02,True,3840,2160,3
data\raw\Hazardous\e-waste\electronic-waste-collection-center-subsequent-recycling-circular-economy_761147-84.jpg,hazardous,electronic-waste-collection-center-subsequent-recycling-circular-economy_761147-84.jpg,113.4,True,626,470,3
data\raw\Hazardous\e-waste\S4cyF6X8zyxWbqHjnI83ICAtzm6CgAqDFVIA9UZG95I.JPG - Copy.jpg,hazardous,S4cyF6X8zyxWbqHjnI83ICAtzm6CgAqDFVIA9UZG95I.JPG - Copy.jpg,1708.94,True,3500,2306,3
data\raw\Recyclable\plastic_bottles\depositphotos_9379122-stock-photo-closeup-asssorted-soda-bottles.jpg,recyclable,depositphotos_9379122-stock-photo-closeup-asssorted-soda-bottles.jpg,43.29,True,600,398,3
